g_dict=`
a|неопределенный артикль
death-bed|смертное ложе;предсмертные минуты;предсмертный
death-cup|бледная поганка
death-damp|холодный пот(у умирающего)
death-duty|налог на наследство
death-feud|смертельная вражда
death-hunter|мародер,обирающий убитых на поле сражения
death-mask|маска;слепок(с лица умершего)
death-rate|смертность
death-watch|книгоед;книжная вошь(энт)
deathless|бессмертный
deathlike|подобный смерти
deathly|смертельный;роковой;подобный смерти;смертельно
deathman|палач
debacle|ледоход;стихийный прорыв вод;разгром;паническое бегство;ниспровержение;падение(правительства)
debar|воспрещать;не допускать;препятствовать;отказывать;запрещать;лишать прав
#(to debar from voting/лишать права голоса)
debark|высаживать(ся);выгружать(ся)(на берег);обдирать кору
debarkation|высадка(людей);выгрузка(товара);дебаркация
debase|унижать достоинство;понижать качество;портить
debasement|унижение;снижение ценности;качества
debatable|дискуссионный;неясный;спорный;оспариваемый
debate|дебаты;дискуссия;обсуждение;дискуссия;полемика;прения;спор;официальный отчет о парламентских заседаниях;обсуждать;оспаривать;дебатировать;спорить(о чем-либо,с кем-либо);обдумывать;рассматривать;думать(о чем-либо);взвешивать
debater|участник дебатов,прений
debating-society|дискуссионный клуб
debauch|дебош;разврат;распутство;совращать;портить;искажать(вкус,суждение)
debauchee|развратник;распутник
debeaking|обрезка у птиц кончика клюва
debellation|завоевание целого государства
debenture|облигация;долговое обязательство
debenture-bond|долговая расписка
debilitate|ослаблять
debilitation|ослабление;понижение;спад;обессиливание
debility|бессилие;слабость здоровья;дебильность(мед)
debit|дебет;дебетовое сальдо;приход;вносить в дебет;дебетовать;записывать дебет
debit-advice|дебетовое авизо
debit-and-credit|приход и расход
debit-balance|дебетовое сальдо
debit-note|дебетовое авизо(фин)
deblock|разблокировать;разделять блоки на записи
deblocking|разблокирование;распаковка блоков информации
debonair|добродушный;любезный;веселый;жизнерадостный;оживленный;развеселый
debouch|выходить из ущелья на открытую местность(о реке);дебушировать
debouchure|устье реки;вход в залив
debrief|производить опрос(пилота,космонавта)после выполнения задания
debris|осколки;развалины;руины;строительный мусор;обломки пород(геол);покрывающая месторождение пустая порода;остатки
debt|долг;задолженность;обязательство;иск о взыскании денежного долга
#(to acknowledge a debt/признать долг)
#(to cancel debts/аннулировать долги)
#(to collect debts/получать долги)
#(to discharge a debt/погасить долг)
#(to get into debts/влезть в долги)
#(to owe a debt/быть должником)
#(to recover a debt/взыскать долг)
debt-servicing-ability|кредитоспособность
debtee|кредитор
debtor|должник;дебитор
debug|отлаживать программу;налаживать компьютер;устранять неисправности(неполадки)
debugger|программа отладки
debugging|устранение неполадок(неисправностей);выявление и устранение дефектов в программе(компьют);доводка;наладка(аппаратуры)
debut|дебют;дебютировать
debutant|дебютант
debutante|дебютантка
decachord|десятиструнный;десятиструнная арфа
decadal|происходящий каждые десять лет
decade|группа из десяти;десяток;десятилетие;декада;декадный;десятичный
decadence|падение;спад;декадентство;упадничество;декаданс
decadency|упадок;ухудшение;упадочничество;декаданс(в искусстве)
decadent|декадент;декадентский;упадочнический;упадочный
decaf|кофе без кофеина(разг)
decaffeinated|не содержащий кофеина
decagon|десятиугольник
decagonal|десятиугольный
decahedral|десятигранный
decalitre|декалитр
decalogue|десять заповедей;декалог(библ)
decametre|декаметр
decamp|сниматься с лагеря;удирать;скрываться
decampment|выступление из лагеря;быстрый уход;бегство;побег
decanter|графин
decaphyllous|десятилистный(бот)
decapitate|обезглавить;отрубить голову
decapitation|обезглавливание;смертная казнь через обезглавливание
decarbonate|очищать от нагара;копоти
decarbonize-an-engine|удалять нагар с деталей двигателя
decasyllabic|десятисложный;десятисложный стих
decathlon|десятиборье(спорт)
decay|гниение;распад;гниль;спад;затухание;сгнившая часть(яблока);разложение;упадок;загнивание;распад(государства,семьи);расстройство(здоровья);разрушение(здания);распадаться;гнить;разлагаться;портиться;приходить в упадок(о государстве);затухать;разрушение информации
decayed|испорченный;пришедший в упадок;распавшийся;испортившийся
decaying|гниющий;загнивающий;разлагающийся;начинающий засыхать
decease|гибель;кончина;почить;скончаться;умереть;прекращаться
deceased|покойный;умерший;покойник;скончавшийся
decedent|покойный;умерший
deceit|обман;хитрость;лживость;уловка;трюк;мошенническая проделка;намеренное введение в заблуждение
deceitful|вводящий в заблуждение;изменнический;предательский;лживый;вероломный;обманный
deceive|обманывать;намеренно вводить в заблуждение
decelerability|способность к быстрому замедлению
decelerate|уменьшать скорость,ход;замедлять;снижать скорость;тормозить;уменьшать частоту вращения
deceleration|запаздывание;замедление;уменьшение скорости хода;торможение;снижение частоты вращения
december|декабрь;декабрьский
decency|благопристойность;вежливость;соблюдение приличий;правила хорошего тона
decennary|десятилетие
decennial|десятилетний;продолжающийся десять лет;повторяющийся каждые десять лет
decent|приличный;благопристойный;порядочный;достаточный;изрядный;скромный;сдержанный;умеренный;славный;хороший(разг)
decently|порядочно;прилично;хорошо;скромно;любезно;мило
decentralization|децентрализация
decentralize|децентрализовать
deception|обман;жульничество;ложь;уловка;хитрость
deceptive|обманчивый;вводящий в заблуждение
deceptive-course|ложный курс
decerebration|удаление головного мозга
deci-|деци(обозначает десятую часть,особенно в метрической системе)
decibel|децибел(акустическая единица)(физ)
decidability|разрешимость
decidable|разрешимый
decide|решать(ся);принимать решение;разрешать;делать выбор;выносить решение
#(to decide a motion/принять решение по заявленному ходатайству)
#(to decide by toss/бросать жребий)
#(to decide for/выносить решение в пользу кого-либо)
#(to decide the difference/разрешить спор)
decided|бесповоротный;окончательный;решительный;определенный
decided-bent|определенные склонности
decidedly|категорически;бесспорно
decider|решающая встреча(спорт))
decidua|отпадающая оболочка матки
deciduous|листопадный(о деревьях)(бот);лиственный;периодически сбрасываемый(о рогах);молочный(о зубах);быстротечный;быстрый;опадающий;осыпающийся
deciduous-calyx|падающая чашечка
deciduous-wood|лиственный лес
decimal|десятичный;десятичная дробь;десятичное число;десятичный знак
decimal-fraction|десятичная дробь
decimal-number|десятичная цифра
decimalism|применение десятичной системы
decimate|казнить каждого десятого;уничтожать;косить;аннулировать;сводить к нулю;взимать десятину(ист)
decimetre|дециметр
decipher|расшифровка;декодировать;раскодировать;расшифровывать;разбирать(неясный почерк,древние письмена т. п);распутывать;разгадывать
decipherable|поддающийся расшифровке,чтению
decipherer|устройство для расшифровки;дешифратор
decision|решение;заключение(юр);приговор;решимость;решительность;выбор;определение суда;решение арбитража;решающий
#(the decision is pending/решение еще не вынесено)
#(to reach a decision/добиться решения)
#(to take a decision/принять решение)
decision-taking|принятие решения
decision-maker|лицо,принимающее решение
decisive|решающий;имеющий решающее значение;решительный;убедительный;определенный
decisive-battle|решительный бой
decisive-blow|решительный удар
decisive-evidence|решающее доказательство
deck|палуба;крыша вагона;складной или съемный верх(автомобиля);пол в вагоне трамвая или автобуса;колода(карт);земля(мор);пачка перфокарт;плата;лентопротяжный механизм;настилать палубу;принимать на палубу;украшать;убирать(цветами,флагами)
#(to go on deck/выходить на палубу)
#(to put a deck-chair up/раскладывать шезлонг)
deck-landing|посадка на палубу(авиац)
deck-of-cards|колода карт
deck-cabin|каюта на палубе
deck-cargo|палубный груз
deck-chair|шезлонг
deck-hand|матрос;палубная команда
deck-house|рубка;салон на верхней палубе(мор)
deck-light|палубный иллюминатор(мор)
deck-passage|проезд на палубе(без права пользования каютой)
decking|украшение;палубный материал;настил;опалубка
deckle|обрезать края бумаги;трепать;обрывать(край бумаги)
deckle-edged|с неровными краями(о бумаге)
declaim|произносить с пафосом(речь);осуждать(в выступлении);выступать против;декламировать;читать(стихи)
declamation|декламация;художественное чтение;торжественная речь;красноречие;хорошая фразировка(при пении)
declamatory|декламационный;ораторский;напыщенный
declarant|тот,кто подает заявление,декларацию;заявитель;истец;иностранец
declaration|высказывание;декларация;заявление;объявление;декларация(документы);объявление(войны);исковое заявление истца(юр);торжественное заявление(свидетеля без присяги);таможенная декларация;описание;предъявление на таможне вещей,облагаемых таможенной пошлиной;объяснение в любви
#(toproduce declaration/предъявлять декларацию)
declaration-day|день объявления результатов голосования
declaration-of-alienage|заявление об отказе от гражданства
declaration-of-the-roll|объявление результатов голосования
declaration-of-war|объявление войны
declaration-of-will|волеизъявление
declarative|декларативный;повествовательный(о предложении)(грам)
declaratory|пояснительный;иллюстративный;объяснительный
declare|объявлять;признавать;объявлять кого-либо кем-либо;заявлять;провозглашать;объявлять публично;высказываться;называть;предъявлять вещи,облагаемые пошлиной(на таможне);объявлять козырь(в картах);обнаруживать;выражать отношение;высказываться;подать иск;изложить основание иска;обнародовать;показывать
#(to declare insane/объявлять невменяемым)
#(to declare oneself a bankrupt/объявлять себя банкротом)
#(to declare the hearing closed/объявлять слушание законченным)
declared|заявленный;объявленный;видимый;очевидный;признанный;явный
declarer|оператор объявления
declassed|деклассированный
declassify|рассекречивать(документы,материалы)
declensional|относящийся к склонению(грам)
declinate|загнутый;отклоненный вниз
declination|изменение;магнитное склонение;наклон;наклонение;склонение;отклонение;ориентирование по странам света(по карте)
declinatory|отклоняющий(ся);отказывающий(ся)
decline|склон;уклон;падение;спад;упадок;снижение(цены);конец;сокращение;ухудшение(здоровья,жизненного уровня);за- кат(жизни,дня);изнурительная болезнь;клониться;наклоняться;заходить(о солнце);идти к концу;приходить в упадок;ухудшаться(о здоровье,жиз- ненномуровне);уменьшаться;идти на убыль;спадать(о температуре);отклонять;отказы- вать(ся);наклонять;склонять;склонять(грам);снижаться
#(to decline an offer/отклонять предложение)
decline-in-jobs|сокращение занятости
decline-in-prices|снижение цен
decline-of-export-markets|сужение экспортных рынков
declining|преклонный;упаднический;начинающий убывать;начинающий засыхать;перестойный(о лесе)
declivitous|довольно крутой(о спуске)
declivity|покатость;спуск;склон;откос;уклон(пути);скат;наклон;угол наклона
declivous|покатый;наклонный;отлогий
declutching|выключение сцепления автомобиля
decoct|приготовлять
decoction|вываривание;(лечебный))отвар
decode|расшифровывать;декодировать
decoded|декодированный;расшифрованный
decoder|дешифратор;декодер;декодирующее устройство
decoding|декодирование;дешифрование
decollete|декольте;декольтированный;рассортировать;разделять на части
decolo(u)rant|обесцвечивающее вещество
decolo(u)ration|обесцвечивание
decolo(u)rize|обесцвечивать
decompiler|декомпилятор
decompilling|декомпиляция
decomplementize|уничтожать комплемент
decomplex|вдвойне сложный;имеющий сложные части
decomposable|разложимый(мат)
decompose|деградировать;разлагаться;нагнаивать;распадаться;разбивать;раскладывать;расщепляться;разложить;разлагать на составные части;разбирать;анализировать;гнить
decomposed|истлевший;разложенный;распадающийся;разбитый;расщепленный;декомпозер;разложившийся;сгнивший
decomposing-body|разлагающееся тело
decomposite|составленный из сложных частей;составной;что-либо состоящее из сложных частей(вещество,слово)
decomposition|разложение;гниение;разбиение;распад;расщепление;декомпозиция
decompound|многосложный(бот);разлагать на составные части
decompress|уменьшать,снижать давление
decompression|снижение давления воздуха;декомпрессия
deconsecrate|секуляризировать(церковные земли,имущество)
deconsecration|лишение юридической силы;секуляризация
deconstruct|вскрывать противоречия
decontaminant|дезактивационное средство
decontaminate|очищать;очистить;обеззараживать;обеззаразить;дезактивировать
decontamination|дезактивация;очистка;обеззараживание;дегазация;дезинфекция
decontrol|освобождение от государственного контроля;освобождать от государственного контроля
decor|оформление(выставки);декорации;орнамент
decorate|украшать;декорировать;отделывать(дом,помещение);награждать знаками отличия,орденами
decorated|декорированный;украшенный;награжденный
decoration|украшение;убранство;декорация;украшение дома;праздничные флаги;гирлянды;развешивать гирлянды;орден;знак отличия
decorative|декоративный
decorator|архитектор-декоратор;маляр;обойщик
decorous|благопристойный;порядочный;приличный
decorticate|сдирать(кору,шелуху);шелушить
decorum|правила приличия
decouple|расцеплять;развязывать;разъединять
decoupler|развязывающее устройство;развязка
decoupling|развязка;развязывание;разрыв связей;разделение;нарушение связи;отключение;расцепление
decoy|приманка;манок;западня;капкан;ловушка;пруд,затянутый сеткой(для заманивания диких птиц с помощью манков);макет(воен);средство отвлечения;ложная цель;ложный;приманивать;заманивать в ловушку;вовлекать;впутывать;завлекать;соблазнять;обольщать
decoy-ship|судно-ловушка(мор)
decoy-duck|манок для заманивания диких уток;приманка
decrease|(сущ)(di:'kri:s-гл)уменьшение;убывание;убыль;спад;уменьшать(ся);убывать;понижать;понизить;падать;снижаться;убавляться
decree|декрет;директива;постановление;приказ;указ;решение(суда);постановление церковного совета;декреталии;издавать декрет;декретировать;отдавать распоряжение;приказывать
decree-absolute|окончательное решение суда(юр)
decrement|уменьшение;степень убыли;убывание;убыль;уменьшать значение
decrepit|дряхлый;ветхий;изношенный;обветшалый;старый
decrepitate|обжигать(техн);прокаливать до растрескивания;потрескивать на огне
decrepitude|дряхлость;старость;ветхость
decrescendo|декрещендо(муз)
decrescent|убывающий
decretal|декрет;постановление;решение;указ;декреталии
decretive|декретный
decrial|открытое осуждение;порицание
decriminalize|исключить(деяние)из числа уголовно наказуемых
decry|осуждать;принижать
decryption|декодирование;расшифровывание;дешифрование
decumbent|лежащий;стелющийся по земле;ползучий
decurrent|нисбегающий
decussate|пересекающийся под прямым углом;расположенный крестообразно;пере- секать(ся)под прямым углом;крест-накрест
dedicate|посвящать;назначать;предназначать;предопределять;надписывать(книгу);открывать(торжественно);использовать только для определенной цели
dedicated|преданный;посвятивший себя(долгу,делу);убежденный(о стороннике чего- либо);выделенный;назначенный;специализированный
dedicatee|лицо,которому что-либо посвящено
dedication|надпись;посвящение;верность;преданность;самоотверженность;передача в общественное пользование;выделение;назначение;отказ от патентных прав в пользу общества
dedicator|тот,кто посвящает;посвящающий
dedicatory|посвятительный;посвящающий
deduce|выводить(заключение,следствие,формулу);проследить;установить происхождение;прослеживать
deducibility|выводимость
deduct|вычитать;отнимать;удерживать;сбавлять;делать удержание
#(to deduct 20% from smb'spay/удержать 20% из чьей-либо зарплаты)
deduction|вычитание;вычет;удержание;вычитаемое(мат);сбавка;скидка;уступка;вывод;заключение;дедукция(лог);умозаключение
deductive|дедуктивный(лог)
deed|действие;поступок;дело;обстоятельство;случай;факт;деяние;подвиг;поступок;акт(юр);документ;действительность
#(to draw up a deed/составить документ)
deed-of-assignment|акт передачи права
deed-of-conveyance|купчая;акт отчуждения
deed-of-gift|дарственная
deed-poll|одностороннее обязательство(юр);односторонний документ за печатью
deem|думать;мыслить;полагать;размышлять;считать
deemster|выборный судья
deep|глубина;глубокий;серьезный;не поверхностный;погруженный во что-либо;поглощенный;чем-либо занятый;сильный;таинственный;труднопостигаемый;насыщенный;темный;густой(о краске,цвете);полный;низкий(о звуке);глубокое место;море(поэт);океан;бездна;пропасть;самое сокровенное;впадина;пучина
deep(profound,seething)anger|сильное раздражение
deep-animosity|глубокая враждебность
deep-anxiety|сильное беспокойство;сильная тревога
deep-offset|резьба глубокого профиля
deep-brown|темно-коричневый
deep-draft|глубокая осадка судна
deep-drawn|вырвавшийся из глубины(о вздохе)
deep-dwelling|обитающий в глубинах
deep-felt|глубоко прочувствованный
deep-freeze-compartment|морозильная камера
deep-frozen|глубокозамороженный
deep-fry|жарить во фритюре
deep-laid|глубоко заложенный;детально разработанный и секретный(о плане)
deep-mouthed|зычный;громко лающий
deep-rooted|глубоко укоренившийся
deep-sea|глубоководный
deep-seated|глубоко сидящий;вкоренившийся;затаенный(о чувстве);твердый(об убеждении)
deep-seated-rust|въевшаяся ржавчина
deepen|углублять(ся);усиливать(ся);делать(ся)темнее;сгущать(ся)(о красках,тенях);понижать(ся)(о звуке,голосе);понижать(тон);усугублять;увеличивать
deepening|углубление
deepfreeze|морозильник;замораживать;морозильная камера
deeply|глубоко;резко;серьезно;искусно
deepness|глубина
deer|олень;олений
deer-forest|олений заповедник
deer-hound|шотландская борзая
deerberry|черника(бот)
deerskin|оленья кожа;лосина;замша
deerstalker|охотник на оленей;войлочная шляпа
deface|портить;искажать;стирать;делать неудобочитаемым;дискредитировать;обезобразить;изуродовать
defacement|порча;изнашивание;искажение;ухудшение;стирание;изуродование;уродство
defalcate|обмануть доверие;нарушить долг;совершить растрату;присвоить чужие деньги
defalcation|растрата чужих денег;зачет требований
defamation|клевета;диффамация
defamation-of-character|дискредитация
defamatory|бесчестящий;клеветнический;позорящий;дискредитирующий
defamatory-matter|материал,содержащий позорящие кого-либо сведения
defame|поносить;клеветать;порочить;позорить;бесчестить;обвинять
defamed|опозоренный
defamer|клеветник
defatted|обезжиренный
default|неплатеж;неисправность должника;невыполнение обязательств(денежных);упущение;отсутствие;недостаток;недосмотр;ошибка;пропуск;правонарушение;провинность;проступок;неявка в суд;прекратить платежи;не выполнить своих обязательств;вынести заочное решение(в пользу истца);выйти из состязания до его окончания(спорт);подразумеваемый;умолчание;по умолчанию
#(to claim a default/предъявить претензию за неисполнение договора)
#(to default a term/пропустить срок)
default-apperance|неявка
default-of-interest|неуплата процентов
default-of-issue|отсутствие детей или наследников
default-of-payment|неуплата
defaulter|лицо,не выполняющее своих обязательств;банкрот;растратчик;уклонившийся от явки(в суд);провинившийся,получивший взыскание(воен);участник,выбывший из соревнований до окончания матча,встречи(и т. п)(спорт);солдат,нарушивший воинскую дисциплину
defeasance|аннулирование;ликвидация;отмена;уничтожение;документ,содержащий условия аннулирования другого документа
defeasible|могущий быть отмененным,аннулированным;теряющий силу при определенном условии
defeat|поражение;разгром;разрушение;расстройство(планов);отмена;крушение(надежд);наносить поражение;расстраивать(планы);разрушать(надежды);проваливать(законопроект);аннулировать(юр);отменять;прекращение;аннулирование;опровергать;предотвращать;препятствовать
defeated|побежденный
defeatism|пораженчество
defeatist|капитулянт;пораженец
defecate|очищать(ся);отстаивать;осветлять(жидкость)
defecation|дефекация
defect|недостаток;неисправность;изъян;дефект;авария;повреждение;поломка;порок;недоработка;бежать за границу по политическим мотивам
defection|нарушение(долга,верности);крах;неудача;поражение;провал
defective|несовершенный;недостаточный;неисправный;плохой(о памяти);дефектный;умственно отсталый;недостаточный(о глаголе)(грам);поврежденный;психически неполноценный;юридически порочный;некачественный
defective-mark|отвлекающий признак
defector|перебежчик за границу по политическим мотивам
defederation|распадение федерации
defence-area|зона защиты(спорт)
defence-boom|бон заграждения
defence-capacity|обороноспособность
defence-case|версия защиты
defence-lawyer|защитник,адвокат ответчика
defence-of-appeal|поддержка апелляции
defence-of-property|защита имущества
defence-of-self(self-defence)|самооборона
defence-witness|свидетель защиты
defenceless|беззащитный;незащищенный;уязвимый;необороняемый
defend|оборонять(ся);защищать(ся);отстаивать;поддерживать(мнение);)оправдывать(меры);выступать защитником;возражать;запрещать
defendant|ответчик(юр);обвиняемый;подсудимый
defender|борец;защитник;поборник;чемпион,защищающий свое звание(спорт)
defeneration|дача взаймы под ростовщический процент
defense-alliance|оборонительный альянс
defensible|удобный для обороны(воен);защитимый;оправдываемый
defensive|оборона;оборонительная позиция;оборонительный;оборонный;защитный
defensive-character|защитный признак
defensor|ответчик;попечитель;опекун
defence|оборона;защита;укрепления(воен);оборонительные сооружения;заграждение;защита(на суде)(юр);оправдание;реабилитация;защита(спорт);запрещение(рыбной ловли)
defer|медлить;откладывать;отсрочивать;задерживать;оттягивать;предоставлять отсрочку от призыва;считаться(с мнением);полагаться на кого-либо;подчиняться;уступать
#(to defer to smb.'s experience/полагаться на чей- либо опыт)
deference|уважение;почтительное отношение
deferent|выносящий;выводящий(о протоке);отводящий(о канале)
deferential|почтительный
deferment|задержка;опоздание;откладывание;отсрочка
deferred|задержанный;замедленный;отсроченный;пониженный;взимаемый при задержке доставки;отложенный
deferred-rate|пониженный тариф
defiance|вызов(на бой,спор);вызывающее поведение
defiant|вызывающий;открыто непо- винующийся;дерзкий
deficiency|отсутствие чего-либо;нехватка;дефектность;дефицит;недостаток;неполноценность;порок;недостаточность
deficiency-in-weight|дефицит веса
deficient|недостаточный;недостающий;дефектный;несовершенный;лишенный(чего-либо);неполный
deficit|дефицит;нехватка;недочет
#(to be in deficit/быть в дефиците)
defilade|естественное укрытие;укрывать рельефом(от наблюдения и огня прямой наводкой)(воен)
defile|загрязнять;марать;пачкать;осквернять;профанировать;портить;развращать;разлагать;растлевать;лишить девственности;(di:fail)дефиле;теснина;ущелье
defilement|загрязнение;осквернение;профанация;растление;лишение девственности
definable|поддающийся определению;определимый
define|определять;давать определение;давать характеристику;устанавливать значение(слова);обозначать;обрисовывать;описывать;очерчивать;конструировать дефиницию;формулировать
#(to define a problem/формулировать задачу)
defined|определенный;получивший определение
definite|дефинитный;определенный;именованный;несомненный;точный
definite-compulsory-commitment|заключение под стражу на определенный срок
definiteness|определенность
definition|определение;формулировка;отчетливость;разборчивость;четкость;определенность;дефиниция;описание;задание;разрешение(изображения)
definitive|окончательный;решительный;безусловный;заключительный;последний;вполне развитой(биол);дефинитивный
deflagrate|быстро сжигать или сгорать
deflagration|сгорание взрывчатых веществ без взрыва;вспышка
deflate|спускать(шину);выкачивать;выпускать воздух;газ;сплющиваться;сокращать выпуск денежных знаков(фин);снижать цены;опровергать(довод);понижать порядок(матрицы)
deflect|отклонять(ся)от прямого направления;преломлять(ся);наводить орудие
deflected|отогнутый
deflection|отклонение;деформация;прогибание;сгибание;прогиб;изгиб;отклонение стрелки;провисание;преломление лучей
deflection-axis|ось отклонения(техн)
deflective|вызывающий отклонение;отклоняющий
deflector|отражатель;козырек;отклоняющее устройство
deflower|обрывать цветы;портить;вредить;наносить ущерб;растлить;лишить девственности
defocusing|нарушение фокусировки;расфокусировка
defoliate|лишенный листьев;лишать листвы;уничтожать растительность
deforce|лишать собственности
deforcement|захват;незаконное присвоение(чужой собственности)
deforest|вырубить леса;обезлесить(местность)
deform|искажать;искривлять;уродовать;искажать(мысль);деформировать(техн)
deformability|деформируемость
deformation|уродование;искажение;искривление;порча;деформация(техн)
deformity|уродливость;уродство(физическое или нравственное);урод;изуродованная вещь
defraud|обманывать;вводить в заблуждение;дезориентировать;обманом лишать(чего- либо);выманивать;мошенничать
defraudation|обман;мошенничество;лишение чего-либо путем обмана
defrauded|обманутый;потерпевший от мошенничества
defray|платить;уплачивать;оплачивать издержки
#(to defray the cost/взять расходы на себя)
defrayal|оплата(издержек);платеж
defrayer|плательщик издержек
defreeze|размораживать(продукты))
defrock|расстричь(монаха);лишить духовного сана
defrost|размораживать(холодильник);размораживать(фонды иностранного государства)(экон)
defroster|стеклообогреватель;противообледенитель(авт)
defrosting|размораживание;оттаивание
deft|ловкий
defueling|откачка топлива из цистерн
defunct|умерший;усопший;вымерший;исчезнувший;мнимый;покойный;покойник;пресекшийся(о роде)
defy|вызывать;бросать вызов;нарушать;не повиноваться;не соблюдать;пренебрегать;попирать(принципы);не поддаваться;представлять непреодолимые трудности;игнорировать;открыто не повиноваться
#(to defy competition/конкурировать с успехом)
#(to defy the law/нарушать закон)
#(to defy public opinion/презирать общественное мнение)
degas|дегазировать
degassing|удаление газов;дегазация
degauss|размагничивать;стирать магнитную запись
degeneracy|вырождение;дегенерация;падение;спад;упадок
degenerate|(сущ.,прил)(di'ʤenəreit-гл)дегенерат;вырождающийся;вырождаться;ухудшаться
degenerate-conversation|извращенные половые сношения
degeneration|вырождение;дегенерация;перерождение
degradation|разложение;разрушение;упадок;деградация;ухудшение;понижение;разжалование;уменьшение масштаба;вырождение(биол);ослабление интенсивности тона(живоп);размытие(геол);подмыв;понижение земной поверхности;сокращение возможностей(системы);снижение эффективности(работы системы)
degrade|приходить в упадок;деградировать;снижать;убавлять;уменьшать(силу,ценность);понижать(в чине,звании);разжаловать;унижать
degraded|находящийся в состоянии упадка;деградировавший;разжалованный;пониженный в чине,звании;униженный;деградированный(о тоне)(живоп);вырождающийся(биол);размытый(геол);понизившийся
degrease|обезжиривать;удалять смазку
